id,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
45,INV1044,S665,Eraser,11,2025-11-22,3.23,C766,India
46,INV1045,S405,Marker,23,2025-02-28,78.59,C344,USA
47,INV1046,S978,Stapler,8,2025-07-21,58.75,C175,India
48,INV1047,S739,Stapler,2,2025-08-26,49.22,C699,India
49,INV1048,S602,Notebook,14,2025-05-04,70.9,C538,France
50,INV1049,S391,Marker,18,2025-06-03,85.14,C309,France
51,INV1050,S545,Marker,19,2025-09-27,1.95,C306,Germany
52,INV1051,S169,Stapler,35,2025-03-27,51.95,C419,UK
53,INV1052,S179,Pencil,15,2025-10-06,40.9,C798,UK
54,INV1053,S580,Eraser,50,2025-01-23,40.5,C642,Germany
55,INV1054,S920,Pencil,37,2025-02-10,86.1,C460,Germany
56,INV1055,S307,Ruler,15,2025-12-12,39.54,C989,UK
57,INV1056,S165,Pen,1,2025-05-23,80.3,C150,USA
58,INV1057,S834,Pen,10,2025-07-31,76.78,C324,France
59,INV1058,S452,Pencil,45,2025-04-22,85.15,C469,UK
60,INV1059,S319,Notebook,25,2025-11-14,74.21,C398,France
61,INV1060,S393,Ruler,13,2025-11-16,33.94,C524,France
62,INV1061,S413,Pen,29,2025-06-01,41.75,C852,France
63,INV1062,S975,Notebook,7,2025-08-02,97.77,C900,India
64,INV1063,S384,Stapler,43,2025-09-28,91.59,C973,UK
65,INV1064,S471,Pen,30,2025-01-02,26.56,C233,USA
66,INV1065,S246,Stapler,23,2025-10-01,18.79,C875,UK
67,INV1066,S989,Eraser,46,2025-12-11,28.95,C457,France
68,INV1067,S731,Pencil,18,2025-08-16,91.32,C271,France
69,INV1068,S799,Ruler,18,2025-12-28,76.58,C833,Germany
70,INV1069,S768,Ruler,35,2025-04-04,55.58,C922,UK
71,INV1070,S432,Notebook,44,2025-09-30,94.35,C262,USA
72,INV1071,S342,Stapler,17,2025-10-30,3.26,C786,France
73,INV1072,S233,Ruler,2,2025-08-18,29.88,C895,Germany
74,INV1073,S786,Pencil,14,2025-04-08,95.73,C974,USA
75,INV1074,S239,Stapler,8,2025-10-02,61.24,C591,UK
76,INV1075,S834,Pencil,8,2025-10-16,94.75,C356,UK
77,INV1076,S393,Notebook,31,2025-12-17,2.59,C693,UK
78,INV1077,S174,Eraser,49,2025-03-23,68.08,C227,UK
79,INV1078,S114,Ruler,46,2025-02-18,45.99,C386,Germany
80,INV1079,S311,Eraser,2,2025-03-27,54.39,C179,UK
81,INV1080,S144,Pen,7,2025-05-05,97.12,C277,France
82,INV1081,S669,Eraser,22,2025-07-28,41.72,C610,USA
83,INV1082,S743,Pen,44,2025-01-04,76.51,C164,Germany
84,INV1083,S620,Pencil,20,2025-03-12,6.8,C668,USA
85,INV1084,S562,Marker,38,2025-11-23,63.42,C229,Germany
86,INV1085,S499,Pen,6,2025-08-01,81.93,C727,UK
87,INV1086,S449,Pen,48,2025-08-07,89.18,C469,Germany
88,INV1087,S316,Ruler,21,2025-07-17,26.65,C659,India
89,INV1088,S352,Ruler,35,2025-04-20,78.62,C111,USA
90,INV1089,S731,Notebook,18,2025-06-23,99.33,C201,India
91,INV1090,S373,Eraser,27,2025-03-12,26.5,C804,France
92,INV1091,S906,Pen,30,2025-07-10,65.25,C305,France
93,INV1092,S248,Stapler,9,2025-03-07,75.83,C881,Germany
94,INV1093,S571,Marker,26,2025-01-19,96.66,C604,USA
95,INV1094,S872,Pen,44,2025-04-26,66.21,C832,India
96,INV1095,S904,Pen,43,2025-07-18,62.25,C774,USA
97,INV1096,S336,Pencil,37,2025-12-04,8.57,C959,Germany
98,INV1097,S404,Ruler,33,2025-11-08,55.51,C294,Germany
99,INV1098,S320,Pencil,3,2025-11-26,26.41,C868,France
100,INV1099,S463,Eraser,4,2025-12-25,17.74,C115,Germany
101,INV1100,S461,Stapler,44,2025-04-05,93.99,C316,France
102,INV1101,S686,Marker,7,2025-04-25,22.27,C799,Germany
103,INV1102,S630,Pen,19,2025-03-03,91.61,C266,India
104,INV1103,S475,Ruler,32,2025-06-24,14.9,C618,Germany
105,INV1104,S335,Notebook,26,2025-02-27,18.52,C249,USA
106,INV1105,S668,Pencil,44,2025-02-05,52.3,C748,Germany
107,INV1106,S267,Pencil,3,2025-05-09,20.79,C924,France
108,INV1107,S173,Ruler,26,2025-10-27,45.2,C541,India
109,INV1108,S951,Eraser,29,2025-03-17,95.51,C210,India
110,INV1109,S390,Eraser,10,2025-05-12,78.33,C695,USA
111,INV1110,S549,Pencil,25,2025-11-13,92.63,C927,Germany
112,INV1111,S975,Pen,17,2025-05-10,34.09,C908,USA
113,INV1112,S138,Pen,46,2025-02-01,90.04,C249,France
114,INV1113,S586,Pencil,17,2025-01-21,54.92,C160,UK
115,INV1114,S297,Notebook,11,2025-12-30,51.62,C552,Germany
116,INV1115,S178,Notebook,32,2025-04-19,28.71,C938,Germany
117,INV1116,S202,Pencil,49,2025-03-01,67.68,C934,India
118,INV1117,S201,Pen,14,2025-08-13,23.95,C352,UK
119,INV1118,S727,Pen,23,2025-10-25,21.63,C951,Germany
120,INV1119,S321,Stapler,18,2025-09-25,50.92,C705,USA
121,INV1120,S869,Ruler,39,2025-11-30,80.61,C214,USA
122,INV1121,S109,Marker,2,2025-08-16,70.23,C762,USA
123,INV1122,S219,Pen,19,2025-09-19,68.47,C453,USA
124,INV1123,S361,Marker,4,2025-10-17,49.95,C349,UK
125,INV1124,S317,Stapler,1,2025-10-18,38.33,C675,USA
126,INV1125,S318,Stapler,27,2025-08-22,53.17,C895,Germany
127,INV1126,S857,Pen,4,2025-06-25,32.97,C639,Germany
128,INV1127,S170,Marker,31,2025-03-27,74.63,C720,USA
129,INV1128,S203,Stapler,7,2025-04-25,56.23,C849,USA
130,INV1129,S928,Marker,10,2025-06-04,36.31,C628,UK
131,INV1130,S528,Marker,24,2025-04-03,11.78,C167,Germany
132,INV1131,S742,Notebook,9,2025-07-13,76.61,C162,UK
133,INV1132,S658,Pen,41,2025-07-15,78.23,C458,India
134,INV1133,S499,Notebook,27,2025-04-27,75.07,C983,Germany
135,INV1134,S822,Notebook,18,2025-01-01,52.95,C586,India
136,INV1135,S986,Notebook,11,2025-11-14,86.6,C653,Germany
137,INV1136,S463,Eraser,49,2025-02-22,49.1,C514,USA
138,INV1137,S283,Ruler,27,2025-06-19,6.1,C508,Germany
139,INV1138,S831,Pen,5,2025-05-22,3.75,C415,USA
140,INV1139,S734,Pen,33,2025-10-30,64.55,C880,France
141,INV1140,S497,Eraser,24,2025-03-03,3.65,C969,France
142,INV1141,S626,Pen,45,2025-08-18,47.44,C454,UK
143,INV1142,S408,Stapler,24,2025-11-05,21.96,C430,USA
144,INV1143,S169,Eraser,7,2025-04-03,41.44,C750,Germany
145,INV1144,S430,Ruler,30,2025-03-04,25.88,C628,UK
146,INV1145,S939,Stapler,2,2025-03-23,5.19,C139,USA
147,INV1146,S296,Eraser,43,2025-08-02,25.55,C929,UK
148,INV1147,S479,Eraser,35,2025-12-16,96.08,C610,France
149,INV1148,S759,Notebook,17,2025-03-05,58.4,C301,India
150,INV1149,S412,Notebook,42,2025-09-19,9.41,C879,Germany
151,INV1150,S936,Pencil,10,2025-12-12,83.51,C964,USA
152,INV1151,S953,Pen,18,2025-09-28,40.42,C217,France
153,INV1152,S442,Stapler,32,2025-02-18,26.88,C780,India
154,INV1153,S149,Stapler,15,2025-09-12,86.54,C555,Germany
155,INV1154,S479,Eraser,19,2025-01-14,27.06,C556,France
156,INV1155,S695,Eraser,6,2025-11-21,51.93,C842,USA
157,INV1156,S411,Marker,40,2025-12-29,13.5,C903,India
158,INV1157,S890,Stapler,2,2025-09-09,24.57,C600,UK
159,INV1158,S739,Marker,8,2025-05-28,30.26,C959,Germany
160,INV1159,S757,Ruler,28,2025-01-24,71.28,C997,UK
161,INV1160,S683,Stapler,26,2025-08-15,47.48,C959,India
162,INV1161,S146,Pencil,38,2025-06-14,11.06,C308,USA
163,INV1162,S649,Pen,7,2025-06-16,44.39,C442,USA
164,INV1163,S124,Marker,24,2025-04-22,95.63,C436,France
165,INV1164,S508,Notebook,43,2025-01-11,81.94,C604,UK
166,INV1165,S138,Eraser,19,2025-11-27,66.74,C898,France
167,INV1166,S434,Notebook,2,2025-11-29,99.19,C694,Germany
168,INV1167,S244,Eraser,1,2025-10-03,99.52,C346,France
169,INV1168,S542,Notebook,11,2025-06-14,53.25,C606,Germany
170,INV1169,S418,Stapler,27,2025-08-01,77.75,C996,France
171,INV1170,S502,Stapler,21,2025-03-20,12.85,C871,France
172,INV1171,S369,Pen,44,2025-01-15,44.12,C762,France
173,INV1172,S327,Marker,17,2025-04-03,14.51,C124,Germany
174,INV1173,S655,Ruler,14,2025-12-03,28.54,C761,USA
175,INV1174,S361,Pen,26,2025-07-01,31.43,C216,Germany
176,INV1175,S401,Stapler,18,2025-01-22,5.01,C161,USA
177,INV1176,S460,Marker,8,2025-07-03,19.04,C174,India
178,INV1177,S395,Notebook,45,2025-11-24,22.48,C149,UK
179,INV1178,S763,Pen,39,2025-01-14,22.93,C336,UK
180,INV1179,S927,Pencil,32,2025-01-13,13.05,C107,UK
181,INV1180,S514,Ruler,48,2025-10-14,73.95,C903,UK
182,INV1181,S446,Notebook,18,2025-09-04,45.27,C915,India
183,INV1182,S273,Eraser,38,2025-12-18,60.41,C310,USA
184,INV1183,S401,Eraser,14,2025-06-22,23.09,C429,France
185,INV1184,S829,Stapler,16,2025-08-26,24.31,C882,Germany
186,INV1185,S569,Ruler,10,2025-06-20,97.22,C437,Germany
187,INV1186,S337,Pencil,12,2025-03-07,60.46,C598,India
188,INV1187,S773,Pencil,35,2025-05-01,67.65,C961,France
189,INV1188,S466,Ruler,6,2025-03-12,2.09,C333,France
190,INV1189,S247,Pen,3,2025-06-28,34.3,C141,USA
191,INV1190,S631,Eraser,18,2025-01-20,78.37,C195,UK
192,INV1191,S583,Marker,33,2025-07-04,78.88,C372,USA
193,INV1192,S457,Marker,16,2025-04-04,43.96,C497,India
194,INV1193,S996,Stapler,19,2025-07-28,13.89,C421,France
195,INV1194,S719,Eraser,45,2025-06-01,7.33,C526,USA
196,INV1195,S611,Stapler,27,2025-02-27,4.09,C330,UK
197,INV1196,S348,Stapler,18,2025-03-17,70.41,C816,France
198,INV1197,S448,Marker,1,2025-05-21,88.43,C764,UK
199,INV1198,S625,Notebook,29,2025-10-30,9.8,C960,USA
200,INV1199,S705,Eraser,45,2025-04-18,4.14,C888,India
201,INV1200,S609,Marker,50,2025-08-20,37.48,C217,USA
202,INV1201,S508,Eraser,16,2025-01-04,13.63,C950,France
203,INV1202,S114,Ruler,9,2025-08-18,79.18,C785,India
204,INV1203,S256,Pen,22,2025-10-11,71.7,C997,France
205,INV1204,S471,Stapler,32,2025-03-14,63.97,C580,France
206,INV1205,S241,Eraser,24,2025-05-08,51.12,C304,UK
207,INV1206,S414,Eraser,27,2025-10-14,6.78,C549,USA
208,INV1207,S631,Notebook,38,2025-05-05,44.37,C272,Germany
209,INV1208,S413,Eraser,21,2025-12-02,89.29,C889,France
210,INV1209,S965,Stapler,1,2025-01-21,99.61,C210,UK
211,INV1210,S141,Notebook,48,2025-02-03,86.38,C165,Germany
212,INV1211,S116,Pencil,21,2025-02-10,30.49,C591,France
213,INV1212,S232,Notebook,45,2025-02-19,22.47,C169,USA
214,INV1213,S796,Marker,30,2025-12-08,18.81,C751,India
215,INV1214,S355,Pen,22,2025-05-12,56.78,C350,Germany
216,INV1215,S692,Pencil,27,2025-06-29,55.21,C652,France
217,INV1216,S974,Eraser,14,2025-08-04,83.66,C691,UK
218,INV1217,S681,Marker,40,2025-11-05,5.66,C155,Germany
219,INV1218,S646,Ruler,23,2025-04-24,40.64,C172,Germany
220,INV1219,S402,Stapler,10,2025-06-13,38.4,C638,India
221,INV1220,S356,Ruler,26,2025-05-23,71.03,C417,India
222,INV1221,S417,Pencil,22,2025-09-21,31.85,C964,USA
223,INV1222,S556,Eraser,3,2025-10-06,95.45,C205,Germany
224,INV1223,S100,Pen,48,2025-03-29,27.49,C819,France
225,INV1224,S977,Pencil,20,2025-06-21,95.3,C536,France
226,INV1225,S452,Notebook,21,2025-05-02,33.4,C124,France
227,INV1226,S758,Eraser,33,2025-08-03,54.15,C887,France
228,INV1227,S512,Eraser,24,2025-07-11,76.58,C699,France
229,INV1228,S921,Ruler,20,2025-07-19,50.68,C798,Germany
230,INV1229,S627,Pen,43,2025-04-23,63.92,C861,France
231,INV1230,S521,Ruler,15,2025-04-21,77.74,C886,Germany
232,INV1231,S452,Pencil,21,2025-03-06,80.8,C913,USA
233,INV1232,S342,Stapler,8,2025-10-21,13.45,C705,USA
234,INV1233,S252,Notebook,23,2025-07-06,55.79,C832,USA
235,INV1234,S913,Marker,7,2025-04-23,13.88,C586,India
236,INV1235,S642,Pen,24,2025-04-04,76.26,C770,France
237,INV1236,S533,Ruler,38,2025-04-17,31.25,C473,France
238,INV1237,S433,Notebook,36,2025-03-03,93.14,C570,UK
239,INV1238,S595,Marker,15,2025-01-23,34.97,C543,Germany
240,INV1239,S779,Pen,4,2025-10-03,73.16,C257,UK
241,INV1240,S141,Stapler,42,2025-11-10,89.96,C790,India
242,INV1241,S267,Stapler,36,2025-02-24,65.89,C539,France
243,INV1242,S677,Pencil,31,2025-11-27,18.22,C595,India
244,INV1243,S115,Ruler,47,2025-07-25,81.19,C260,France
245,INV1244,S222,Notebook,37,2025-11-09,88.05,C129,UK
246,INV1245,S964,Ruler,5,2025-06-04,14.75,C625,India
247,INV1246,S919,Eraser,25,2025-12-27,9.43,C585,UK
248,INV1247,S597,Stapler,23,2025-08-02,57.92,C893,India
249,INV1248,S483,Stapler,2,2025-11-18,31.07,C837,UK
250,INV1249,S231,Stapler,11,2025-09-01,33.6,C231,USA
251,INV1250,S213,Pencil,26,2025-01-02,47.69,C763,India
252,INV1251,S300,Eraser,47,2025-12-27,6.49,C897,UK
253,INV1252,S748,Pencil,49,2025-12-08,94.01,C385,India
254,INV1253,S847,Pencil,16,2025-10-23,97.22,C587,Germany
255,INV1254,S101,Notebook,43,2025-02-24,55.68,C464,France
256,INV1255,S554,Pencil,28,2025-03-06,34.15,C337,Germany
257,INV1256,S347,Pen,11,2025-02-08,75.64,C941,USA
258,INV1257,S485,Eraser,37,2025-01-02,17.48,C313,France
259,INV1258,S911,Ruler,10,2025-09-05,49.9,C564,France
260,INV1259,S583,Ruler,40,2025-02-04,60.99,C978,India
261,INV1260,S164,Ruler,28,2025-01-16,53.78,C600,France
262,INV1261,S242,Marker,38,2025-10-03,75.21,C153,UK
263,INV1262,S327,Stapler,23,2025-04-26,60.77,C390,Germany
264,INV1263,S284,Pen,28,2025-09-01,72.08,C819,UK
265,INV1264,S425,Marker,40,2025-06-07,35.6,C363,UK
266,INV1265,S277,Marker,10,2025-12-12,97.89,C101,USA
267,INV1266,S165,Ruler,16,2025-10-11,95.98,C638,Germany
268,INV1267,S582,Eraser,17,2025-11-04,45.69,C443,France
269,INV1268,S824,Ruler,14,2025-03-10,46.03,C281,UK
270,INV1269,S673,Stapler,46,2025-08-06,87.01,C778,USA
271,INV1270,S278,Marker,28,2025-07-17,41.03,C877,Germany
272,INV1271,S379,Notebook,41,2025-11-04,28.82,C655,Germany
273,INV1272,S329,Stapler,14,2025-04-09,11.22,C324,France
274,INV1273,S706,Ruler,21,2025-11-14,68.71,C129,France
275,INV1274,S310,Marker,6,2025-08-18,63.64,C555,Germany
276,INV1275,S783,Pen,15,2025-10-09,71.48,C496,USA
277,INV1276,S636,Pen,42,2025-01-30,56.76,C135,India
278,INV1277,S183,Eraser,36,2025-02-24,67.16,C130,UK
279,INV1278,S343,Pencil,15,2025-06-14,48.87,C595,UK
280,INV1279,S595,Pen,16,2025-12-04,66.03,C259,USA
281,INV1280,S328,Marker,48,2025-08-08,92.54,C516,USA
282,INV1281,S735,Pen,14,2025-08-14,63.48,C462,France
283,INV1282,S238,Notebook,12,2025-01-26,32.22,C127,USA
284,INV1283,S544,Eraser,19,2025-07-03,97.41,C292,USA
285,INV1284,S547,Pen,12,2025-01-13,28.52,C685,UK
286,INV1285,S853,Ruler,45,2025-12-29,21.89,C580,France
287,INV1286,S934,Eraser,24,2025-11-26,67.93,C581,USA
288,INV1287,S915,Pen,4,2025-01-14,85.83,C873,France
289,INV1288,S830,Notebook,50,2025-07-31,3.74,C733,Germany
290,INV1289,S351,Stapler,6,2025-11-08,44.26,C835,USA
291,INV1290,S895,Notebook,3,2025-05-06,41.08,C371,UK
292,INV1291,S656,Pen,5,2025-06-09,31.62,C129,USA
293,INV1292,S971,Notebook,15,2025-08-11,96.05,C503,India
294,INV1293,S692,Marker,32,2025-10-24,22.29,C109,UK
295,INV1294,S217,Marker,44,2025-05-02,60.85,C785,Germany
296,INV1295,S620,Pen,17,2025-09-20,31.84,C950,USA
297,INV1296,S951,Notebook,46,2025-03-31,11.14,C311,UK
298,INV1297,S875,Notebook,12,2025-01-06,67.17,C791,USA
299,INV1298,S483,Stapler,31,2025-08-10,98.85,C715,UK
300,INV1299,S804,Notebook,50,2025-09-21,27.5,C140,India
301,INV1300,S259,Ruler,21,2025-11-07,6.49,C195,France
302,INV1301,S253,Marker,26,2025-06-10,96.84,C418,Germany
303,INV1302,S818,Pencil,27,2025-08-17,4.67,C707,Germany
304,INV1303,S578,Marker,9,2025-04-05,11.68,C390,USA
305,INV1304,S689,Pencil,33,2025-07-13,46.78,C263,USA
306,INV1305,S416,Pencil,41,2025-01-17,81.67,C401,USA
307,INV1306,S581,Pen,44,2025-10-03,23.09,C361,UK
308,INV1307,S887,Eraser,26,2025-06-23,29.59,C606,UK
309,INV1308,S748,Marker,1,2025-11-01,50.99,C404,USA
310,INV1309,S985,Ruler,43,2025-03-04,69.6,C451,UK
311,INV1310,S942,Pencil,6,2025-09-05,46.1,C368,UK
312,INV1311,S770,Stapler,11,2025-09-29,18.15,C243,Germany
313,INV1312,S463,Notebook,7,2025-05-13,17.15,C832,UK
314,INV1313,S236,Eraser,45,2025-11-08,40.3,C776,USA
315,INV1314,S202,Eraser,9,2025-12-06,45.23,C603,USA
316,INV1315,S530,Eraser,18,2025-12-09,15.98,C152,UK
317,INV1316,S646,Pen,42,2025-06-17,14.78,C232,Germany
318,INV1317,S933,Marker,31,2025-12-19,85.26,C521,Germany
319,INV1318,S192,Notebook,4,2025-11-25,98.61,C526,UK
320,INV1319,S953,Eraser,13,2025-04-09,87.69,C122,UK
321,INV1320,S105,Marker,9,2025-09-23,39.93,C712,UK
322,INV1321,S313,Ruler,20,2025-09-29,30.56,C903,India
323,INV1322,S675,Eraser,44,2025-06-20,67.54,C540,France
324,INV1323,S498,Ruler,46,2025-05-18,27.92,C997,Germany
325,INV1324,S701,Pencil,49,2025-02-11,92.6,C569,France
326,INV1325,S208,Stapler,8,2025-09-09,80.58,C669,India
327,INV1326,S826,Pencil,48,2025-03-30,26.69,C141,USA
328,INV1327,S813,Pencil,5,2025-07-09,54.62,C380,Germany
329,INV1328,S562,Pen,36,2025-08-20,99.49,C347,India
330,INV1329,S545,Notebook,34,2025-02-02,94.36,C543,India
331,INV1330,S332,Eraser,4,2025-01-02,98.29,C953,Germany
332,INV1331,S988,Ruler,21,2025-04-16,92.82,C929,India
333,INV1332,S481,Pencil,24,2025-08-28,96.62,C967,Germany
334,INV1333,S590,Notebook,47,2025-12-05,43.73,C419,France
335,INV1334,S261,Stapler,17,2025-07-19,92.44,C328,Germany
336,INV1335,S925,Pencil,11,2025-02-23,52.96,C878,USA
337,INV1336,S404,Pen,33,2025-06-05,72.83,C145,India
338,INV1337,S666,Pen,28,2025-10-11,36.05,C968,UK
339,INV1338,S984,Stapler,43,2025-12-21,64.19,C929,UK
340,INV1339,S692,Stapler,43,2025-02-19,92.72,C625,India
341,INV1340,S962,Eraser,20,2025-03-12,26.09,C832,UK
342,INV1341,S748,Pen,24,2025-11-01,72.35,C200,India
343,INV1342,S332,Pen,20,2025-10-08,48.04,C215,USA
344,INV1343,S147,Notebook,47,2025-12-31,53.24,C299,India
345,INV1344,S648,Pencil,35,2025-09-17,64.89,C820,France
346,INV1345,S161,Ruler,15,2025-03-13,78.78,C561,UK
347,INV1346,S254,Ruler,19,2025-09-23,45.04,C956,Germany
348,INV1347,S507,Eraser,3,2025-09-10,14.84,C437,Germany
349,INV1348,S592,Notebook,30,2025-10-30,82.81,C974,UK
350,INV1349,S543,Notebook,21,2025-01-05,43.59,C886,Germany
351,INV1350,S641,Marker,11,2025-05-06,38.78,C644,USA
352,INV1351,S614,Pen,23,2025-03-28,16.23,C520,USA
353,INV1352,S583,Marker,47,2025-05-20,45.11,C939,UK
354,INV1353,S472,Marker,14,2025-11-04,9.0,C310,France
355,INV1354,S290,Pencil,3,2025-03-28,51.47,C899,India
356,INV1355,S985,Pen,5,2025-10-27,13.49,C190,India
357,INV1356,S375,Eraser,42,2025-06-21,29.54,C778,India
358,INV1357,S979,Marker,44,2025-03-20,60.58,C596,India
359,INV1358,S452,Pen,34,2025-03-28,86.32,C607,USA
360,INV1359,S933,Pen,34,2025-09-06,36.03,C435,USA
361,INV1360,S195,Eraser,3,2025-08-24,12.98,C289,Germany
362,INV1361,S484,Notebook,39,2025-03-17,49.36,C831,UK
363,INV1362,S181,Pencil,42,2025-03-02,4.06,C787,UK
364,INV1363,S178,Ruler,3,2025-03-30,5.71,C258,Germany
365,INV1364,S625,Notebook,50,2025-08-06,86.57,C646,USA
366,INV1365,S602,Eraser,33,2025-08-12,99.61,C435,Germany
367,INV1366,S164,Pencil,6,2025-03-16,37.99,C390,Germany
368,INV1367,S528,Ruler,30,2025-06-08,95.37,C802,UK
369,INV1368,S900,Eraser,3,2025-08-10,80.17,C233,USA
370,INV1369,S513,Notebook,22,2025-03-24,28.19,C766,Germany
371,INV1370,S289,Pencil,17,2025-01-11,28.13,C952,UK
372,INV1371,S336,Pen,45,2025-12-05,77.7,C850,India
373,INV1372,S457,Notebook,12,2025-07-21,25.93,C728,India
374,INV1373,S363,Ruler,14,2025-01-20,64.29,C945,India
375,INV1374,S981,Pen,31,2025-04-30,23.9,C285,India
376,INV1375,S980,Ruler,8,2025-05-15,63.16,C828,Germany
377,INV1376,S931,Pencil,5,2025-07-18,70.81,C669,UK
378,INV1377,S384,Marker,35,2025-08-01,16.23,C807,France
379,INV1378,S137,Notebook,30,2025-05-19,60.87,C951,India
380,INV1379,S666,Notebook,44,2025-08-04,76.57,C103,UK
381,INV1380,S985,Pen,1,2025-01-29,44.48,C547,Germany
382,INV1381,S926,Stapler,26,2025-01-15,98.46,C942,USA
383,INV1382,S315,Notebook,34,2025-01-15,23.08,C883,Germany
384,INV1383,S633,Eraser,11,2025-08-22,42.99,C174,France
385,INV1384,S378,Stapler,42,2025-07-31,57.77,C420,France
386,INV1385,S699,Eraser,44,2025-12-26,91.67,C141,USA
387,INV1386,S979,Marker,38,2025-08-17,84.4,C187,USA
388,INV1387,S582,Marker,14,2025-07-08,55.52,C517,USA
389,INV1388,S500,Ruler,26,2025-06-09,55.63,C730,France
390,INV1389,S812,Pencil,20,2025-07-11,7.31,C389,Germany
391,INV1390,S881,Pen,19,2025-04-18,46.91,C477,France
392,INV1391,S575,Pen,26,2025-02-05,22.12,C442,Germany
393,INV1392,S251,Pen,45,2025-01-15,85.93,C809,USA
394,INV1393,S844,Notebook,33,2025-07-05,99.49,C237,USA
395,INV1394,S993,Marker,38,2025-04-02,86.4,C277,USA
396,INV1395,S940,Eraser,37,2025-07-17,50.9,C184,UK
397,INV1396,S778,Eraser,39,2025-03-10,42.99,C864,USA
398,INV1397,S446,Marker,2,2025-04-18,51.99,C479,India
399,INV1398,S827,Ruler,38,2025-05-26,99.35,C901,USA
400,INV1399,S861,Stapler,40,2025-11-25,20.71,C874,France
401,INV1400,S629,Marker,40,2025-03-30,52.25,C905,USA
402,INV1401,S784,Ruler,48,2025-04-04,66.82,C375,India
403,INV1402,S974,Pen,11,2025-04-29,3.87,C824,USA
404,INV1403,S460,Stapler,45,2025-03-07,35.81,C315,UK
405,INV1404,S729,Marker,3,2025-07-12,47.24,C321,UK
406,INV1405,S598,Eraser,48,2025-09-27,1.2,C686,India
407,INV1406,S308,Notebook,44,2025-11-12,34.19,C529,USA
408,INV1407,S213,Ruler,24,2025-08-06,58.23,C170,France
409,INV1408,S911,Eraser,25,2025-05-04,62.06,C431,India
410,INV1409,S232,Notebook,4,2025-07-29,58.32,C839,UK
411,INV1410,S651,Marker,42,2025-03-24,48.35,C606,USA
412,INV1411,S442,Marker,43,2025-10-04,28.38,C282,UK
413,INV1412,S682,Pencil,48,2025-03-03,51.0,C714,France
414,INV1413,S232,Ruler,39,2025-01-22,54.59,C241,Germany
